jeddy00	kebabable	Monsters you gain a +2 to-hit bonus against when using a spear or javelin.
Renter	kebabable	These monsters include (and are limited to): XDJNH (Xorns, Dragons, Jabberwocks, Nagas, Giants, Titans and Minotaurs)
Zeffrin	orc_shaman	Eaten: orc shaman   Nutr: 300
CydeWeys	orcish_chain_mail	Reduces AC by 4 and weighs 300.
paxed	marilith	A demon, Speed 12, AC -6, magic resistance 80%, fire and poison resistant, has 6 attacks per turn, each does 2d4 damage.
Cheapy	marilith	They taunt you.
flgr	bless	see {holy_water}
paxed	buc	short for Blessed, Uncursed, Cursed.
itsblah	decaying_green_substance	see {spinach}
Eidolos	simulhack	Hook up your keyboard to send the same input to two separate games. Eidolos is trying to simulascend a monk and wizard.
greycat	magic_resistance	Magic resistance is technically not essential to ascension, but you'd be insane to face Rodney without it.  You can get it from a cloak of magic resistance, or gray dragon scale mail, or some of the quest artifacts.
itsblah	magic_resistance	Magicbane also provides magic resistance when wielded.
Zarel	magic_resistance	It's a bad idea to rely solely on your role's quest artifact for magic resistance, since it can be stolen by Rodney or your quest nemesis.
runcible	magic_resistance	http://www.steelypips.org/nethack/343/drgn-343.html#magic
paxed	eota	see {Eye_of_the_Aethiopica}
Stevie	you_feel_very_sick	Goddamned poisoned darts/arrows...
Sgep	you_feel_dizzy_for_a_moment,_but_nothing_happens	You activated a magic portal in the Endgame but you don't have the amulet (Amulet was stolen)
SheeEttin	lockpick	see {unlocking tools}
Violist	rodney_abuse	When you ask the semi-wise Rodney too much.  Don't abuse Rodney, it's not nice, and especially not if you are flooding the channel.
GreyKnight	rodney_abuse	Harassing poor Rodney with spurious requests for "!rng LINUX_RAWKS WINDOZE_IS_TEH_SUCK" and whatnot just because you're sleepy and have had waaaay too much caffeine. Chill out, kids.
GreyKnight	rodney_abuse	Fun fact: Rodney accepts ?? queries in private messages, which helps keep the channel clean. ! commands are also accepted, with the exception of !learn (so people can't mess with the learndb secretly).
GreyKnight	rodney_abuse	Please only add cruft to the learndb provided it's actually FUNNY. You know, humor. Yeah, that stuff.
Rapidfire	rodney_abuse	Do not abuse Rodney. You will regret it
shachaf	rodney_abuse	What you're doing.
nailbunny	you_feel_like_a_new_elf	Message given when an elf polymorphs but does not change race. Stats are re-rolled.
dasunt	jacinth	A rare hard orange gem worth 3250 zorkmids.
dasunt	jacinth	In the main dungeon, jacinths usually won't be seen above dungeon level 19.
dasunt	k	Command: 'k'  Move up if you have embraced the one-true-path-of-vi-movement-keys.  For heretics, k will kick something (same as ^D).
dasunt	k	Command: 'K'  Move up until you hit a wall or something (vi keys on).
dasunt	k	Monster: 'k'  Poisonous, icky kobolds.  In addition to the plain kobold, there are large kobolds, kobold lords, and kobold shamans.
dasunt	k	Monster: 'K'  Keystone Kops, Kop Sergeants, Kop Lieutenants, and Kop Kaptains.  Warning:  Corpses count as human.
Dentarthurdent_	you_feel_good_enough_to_do_it_again	A foocubus encounter raised your Constitution by one point.
paxed	force_bolt	Level 1 attack spell, spellbook has base price 100.
greycat	force_bolt	This spell will destroy boulders and statues, and drawbridges, and mirrors, and potions, ....
Poeir	force_bolt	Deals 2d12 points of damage.
Jafet	sanctuary[1]	You are granted sanctuary in any co-aligned temple with a peaceful priest(ess), and your alignment is above -4.
jeddy02	arc	see {archaeologist}
paxed	msghistory	Configuration option.  The number of top line messages to save (and recall with ^P).  Cannot be set in-game. See also msg_window.
PsyMar	you_have_a_feeling_of_inadequacy	See {feeling_of_inadequacy}
Stevie-O	but_nothing_else_happens	"But nothing else happens..." You (a)pplied an empty wand.
Stevie-O	wand_engraving	/oPolymorph can't be used to engrave at all. /oFire and /oLightning semipermanently burn the floor -- normal wear and tear will never erase the engraving (engraving into the floor with a hard gem or sharp weapon or a zap from /oCold will). /oDigging does a regular engraving (lasts a few hundred turns). All other wands only write in the dust -- use your fingers instead.
greycat	skeleton	This white 'Z' monster can touch you to slow you down (removes your intrinsic speed).  Normally these only appear in Orcus's domain, but you know how polytraps and other effects can bring out the worst in some folks.
greycat	skeleton	The worst part of the skeleton's attack is that you aren't *told* that you've lost an intrinsic; you have to check for it by other means.
Sartak	sokoscumming	Say you really like amulets of reflection OR bags of holding. So much so that you quit if you get the wrong soko prize.
Sartak	sokoscumming	Start up monks and dive to Sokoban. If you don't get your desired prize, scum that one away.
PsyMar	you_feel_very_jumpy.	see {teleportitis}
paxed	knight	Honorable, charismatic, meat in a can.  Can also move like the chess piece.
greycat	knight	Salutations!  The Knight is a lawful human warrior, who can achieve Expert skill in long swords, lances, riding and bare-handed combat (and can become Skilled with two weapons).  They're lawful and they start with a long sword, so #dipping for Excalibur is highly recommended.
paxed	knight	Knight rank titles: Gallant (xplvl 1-2), Esquire (3-5), Bachelor (6-9), Sergeant (10-13), Knight (14-17), Banneret (18-21), Chevalier/Chevaliere (22-25), Seignieur/Dame (26-29), Paladin (30)
Otakon	knight	They also have the ability to turn undead, just like a priest.
luis	knight	Intrinsic abilities: 7: Speed.
Eidolos	knight	Knights have a huge advantage during full moons: the +1 luck effectively eliminates the chance of lance-breakage during jousting. (.4% per hit to .008% per hit)
IamI3rian	knight	Knights may become specialized in any of the following magics: Attack, Healing, Clerical
runcible	knight	There's a Knight FAQ at http://sartak.org/nh/knight-faq-343.html - it covers knight stuff, jousting, jumping, and more.
Zeffrin	knight	Eaten: knight   Nutr: 400   Effects: Human
SheeEttin	you_feel_you_could_be_more_dangerous	You can advance more skills. Yay.
blindcoder	#nethack:putty?	http://www.chiark.greenend.org.uk/~sgtatham/putty/
lorimer	+2	see {+2_or_+3}
anselmus	marvin	Christian Bressler, who ascended 23 times in a row on NAO as mrivan, before losing a ranger to a plains centaur (which he blamed on fatigue).
greycat	tool_weight	skeleton key: 3. lock pick: 4. credit card: 1. tallow/wax candle: 2. brass lantern: 30. oil lamp: 20. magic lamp: 20. expensive camera: 12. mirror: 13. crystal ball: 150. lenses: 3. blindfold: 2. towel: 2. saddle: 200. leash: 12. stethoscope: 4. tinning kit: 100.
greycat	tool_weight	tin opener: 4. can of grease: 15. figurine (any): 50. magic marker: 2. land mine: 300. beartrap: 200. tin/magic whistle: 3. wooden/magic flute: 5. tooled/frost/fire horn: 18. horn of plenty: 18. wooden/magic harp: 30. bell: 30. bugle: 10. leather drum: 25. drum of earthquake: 25.
greycat	tool_weight	pick-axe: 100. grappling hook: 30. unicorn horn: 20.
markos_64	unicode_nethack	http://groups.google.com/group/rec.games.roguelike.nethack/msg/dc3b6256bc59e03c
Eidolos	interesting	"Interesting..." - means nothing interesting happened; gotta love NetHack's sense of humor. You probably dipped a blessed item into holy water, a cursed item into unholy water, a unihorn into a potion that doesn't clear (and isn't polymorph), etc.
itsblah	your_hands_begin_to_glow_red	"Your hands begin to glow red" or "Your hands glow a brilliant red" - You will confuse monsters when you attack them. Once your hands stop glowing, the effect is gone.
SheeEttin	your_hands_begin_to_glow_red	By the way, it was a scroll of confuse monster.
Sederien	a_few_ice_cubes_drop_from_the_wand	It's a wand of cold.
Kernigh	grue	In the devnull tourney, if you accept the challenge from the Tournament Administrator in a dark room, then grue will infest the dark places. You will then need a light to survive dark places. Some players have reported encountering grue despite not accepting the challenge.
n1ffo	telepathy	Telepathy will allow you to see monsters that have minds anywhere on the level, as long as you are blind.
itsblah	telepathy	Telepathy from an item (worn amulet, worn helm, artifact) is also known as extrinsic telepathy, and it works on nearby monsters even while not blind.
paxed	telepathy	The easiest way to gain telepathy is to eat a floating eye corpse.
Thvor	wand_store	Wand stores are run by shopkeepers named: Yr Wyddgrug, Trallwng, Mallwyd, Pontarfynach, Rhaeader, Llandrindod, Llanfair-ym-muallt, Y-Fenni, Maesteg, Rhydaman, Beddgelert, Curig, Llanrwst, Llanerchymedd, Caergybi, Nairn, Turriff, Inverurie, Braemar, Lochnagar, Kerloch, Beinn a Ghlo, Drumnadrochit, Morven, Uist, Storr, Sgurr na Ciche, Cannich, Gairloch, Kyleakin, and Dunvegan.
Eidolos	polypiling	see {polypile}
runcible	gridbug_price_id	Price ID for scrolls, potions, wands, spellbooks and rings including markup for tourist/shirt/dunce cap: http://nethack.gridbug.de/prices.html
intchanter	slurping_sound	see {you_hear_a_slurping_sound}
GreyKnight	rodgebot	GreyKnight's NetHack bot.
GreyKnight	rodgebot	Current status: He can connect to NAO and everything!!1!!one
runcible	residual_undead_turning_effect	Death from d20 damage caused by praying while undead as lawful or neutral (1/10 chance for neutral).
BenUrban	speedfest	see {scorefest}
dtype	death	One of the endgame riders, Death has a very annoying attack which drains your max hp. Don't shoot a wand/finger of death at him (duh), and as with all riders, touching his body revives him instantly.
dtype	death	If you want to play around with riders for xp, Death probably isn't the best choice unless you can ensure that he won't continue to touch you. 
dasunt	death	To every man upon this earth / Death cometh soon or late; / And how can man die better / Than facing fearful odds / For the ashes of his fathers / And the temples of his gods? -- Lord Macaulay Thomas Babington
dasunt	death	Revelation 6:8 "And I looked, and behold a pale horse: and his name that sat on him was Death..."
GoGi	death	Dying is not too difficult. But you'll have to figure out yourself how to do it.
CronoCloud	death	Understand death? Sure. That was when the monsters got you. -- Salem's Lot by Stephen King
dho	death	Eating Death also has a 100% chance of killing you instantly.
_Q	death	Death's "deadly touch" attack has a 60% chance of draining your max hitpoints, a 15% chance of instantly killing you if you lack Magic Resistance (otherwise draining max HP), and a 25% chance of doing no damage at all.
PsyMar	death	Death is very interested in finding out what makes humans tick, being well aware of what makes them stop. -- Terry Pratchett
Zeffrin	death	Eaten: Death   Nutr: 1   Effects: DIE
Grognor	melon	Considered vegan food. Weighs 5 and gives 100 nutrition.
kerio	#nethack:!sdsm	Hell yeah.
greycat	tsurugi_of_muramasa	A honkin' big sword that can bisect humanoid-sized monsters, or do extra damage vs. big ones, but which is quite silly for a two-weapon combat specialist like the Samurai (whose quest artifact this is).
greycat	tsurugi_of_muramasa	Exact damage is 1d16+d8 vs. small, 1d8+2d6+1d8 vs. large.  Each hit has a 5% chance of instantly killing small creatures (or ones engulfing you), or double damage vs. large ones.
greycat	tsurugi_of_muramasa	It also acts as a luckstone.
Azeral	tsurugi_of_muramasa	As is the case for Vorpal Blade, artifact weapons that are thrown upward are explicitly disallowed from rolling 1 (or 20) on the attack roll, so you cannot bisect yourself this way. Sorry.
Zeffrin	elf-lord	Eaten: elf-lord   Nutr: 350   Effects: Elf     Intrinsic: Sleep: 53%
Cwiiis	naked	Without clothing
GreyMario	bardiche	A poleaxe with 2d4 versus small and 3d4 versus large. Its unidentified appearance is a long poleaxe.
SpeedEvil	shoplifting	You need at least 26 str to do this.
`Masque	yellow_dragon	Yellow dragons breathe acid.  As an amusing side effect, they are also petrification resistant.
Hellzon	yellow_dragon	The corpse gives no resistances
Zeffrin	yellow_dragon	Eaten: yellow dragon   Nutr: 1500   Effects: Acidic
paxed	pickup_burden	Configuration option.  When you pick up an item that would exceed this encumbrance level (Unencumbered, Burdened, streSsed, straiNed, overTaxed, or overLoaded), you will be asked if you want to continue.  Default 'S'.
jilles	pickup_burden	Does not apply to loadstones.
dasunt	tattered_cape	Either the unidentified cloak of displacement, unidentified cloak of invisibility, unidentified cloak of magic resistance, or the unidentified cloak of protection.
itsblah	friday_13th	see {friday_the_13th}
braincancer	sweet_flash	it's blessed
billnye	rumors	Rumors are used for fortune cookie messages, random engravings, and true rumors for minor Oracle consultations. Blessed and cursed cookies give true and false rumors, respectively; uncursed ones give either.
billnye	rumors	A list of the true rumors in vanilla nethack is available at http://www.nicolaas.net/erebus/nhdocs/rumors.tru.html and the false ones at http://www.nicolaas.net/erebus/nhdocs/rumors.fal.html
billnye	rumors	NAO has also added additional engravings beyond the stock vanilla list, for your 'hacking amusement.
scorchgeek	you_feel_like_the_prodigal_son	You stepped on a magic trap on the quest home level. ("You feel oddly like the prodigal son" if female)
greycat	teleport_control	The cure for "you feel jumpy".  You can get intrinsic teleport control by eating a tengu corpse (17% chance) or the Wizard of Yendor's corpse (20% chance), or you can wear a ring of teleport control.  High-level wizards and monks (XL 17) get it automatically.
Stevie[FP]	teleport_control	Rings of teleport control have a base cost of 300 zorkmids.
Sgep	yasi	Yet Another Sadistic Idea
PsyMar	yasi	Yet Another Stupid Idea
runcible	pot2	Information about smoky, milky, holy water, cancelling, diluting and alchemizing potions: http://www.steelypips.org/nethack/343/pot2-343.html
progo	flail	Flail is a weapon. Does 1d6+1 for small and 2d4 for large monsters. It is one-handed weapon and uses its own 'flail' weapon skill.
lorimer	+2_or_+3	The short answer: It depends.  You have 60% chance of getting +3, and 80% chance of getting +2.
lorimer	+2_or_+3	If you are wishing for something where the special properties of the item itself are worth more than the + (silver or grey dragon scale mail, for example), then go with +3.
lorimer	+2_or_+3	If you are wishing for something where the + is the whole point of the thing (gauntlets of dexterity or a helm of brilliance), you should go with +2.
lorimer	+2_or_+3	The pure math says that +3 will come out slightly ahead in the long run, but there is no "long run" in Nethack, just a series of individual events.  Beyond this, you must make your own decision.
dasunt	uruk-hai_shield	An iron shield that, unenchanted, will drop AC by 1.  It has the appearance of 'white-handed shield'.
scwizard	the_quest	The class specific quest you must complete to get the bell of opening, along with some other type of neat artifact
Zeffrin	guard	Eaten: guard   Nutr: 400   Effects: Human
Sgeo	choked_on_a_very_rich_meal	You ate money, and choked to death
Eidolos	you_hear_maniacal_laughter_in_the_distance[1]	You just read a scroll of scare monster, but no one was around to be terrorized.
Kernigh	shopkeeper	Shopkeepers are the people who own shops. #chat with him to learn prices, press [p] to pay or [$] to check your debt or credit. Shopkeepers are strong fighters and often carry offensive wands.
SheeEttin	shopkeeper	They have 50% chance of resisting magic, among other assorted nasty stats.
Rapidfire	shopkeeper	Killing one gives you the 'Murderer!' penalty, if not chaotic, so it's not a good idea to even try killing them
Rapidfire	shopkeeper	If you -are- chaotic, kill 'em and take their stuff. Yet another reason to play Chaotic. :)
jmr	shopkeeper	http://www.spod-central.org/~psmith/nh/anhfshk.html for more info on the source of all their crazy names.
Zeffrin	shopkeeper	Eaten: shopkeeper   Nutr: 400   Effects: Human
lament	lament	see {yasd}
SpeedEvil	matter	see {Matter_Spells}
itsblah	food_consumption	Normally you consume 1 point per turn for normal food consumption, but having slow digestion or polymorphing into a monster that does not eat will get rid of this.
dasunt	food_consumption	Spell casting, using #monster, and laying eggs will all increase hunger.
itsblah	food_consumption	Wizards with enough Int consume less or no food for casting spells. 14 or less = same consumption, 15 = 1/2 consumption, 16 = 1/4 consumption, 17 or more = no comsumption
paxed	food_consumption	Worn rings and amulets, fighting, heavy encumbrance, regeneration and conflict increase food consumption.
itsblah	food_consumption	Rings of slow digestion still cause ring hunger when worn, and two rings of slow digestion will actually make you hungry faster.
paxed	race	Configuration option.  Selects your race (for example, "race:human").  Default is random.  Cannot be set in-game.
ChocoCid	mastermind	http://nethack.gridbug.de/mm.html
billnye	you_hear_a_clank	 A monster wearing armor has just polymorphed (or werefoo/chameleon shape change), and its armor fell off.
Stevie	renrut	A shopkeeper named Renrut will be running a hardware store.
Stevie[FP]	crown	see {crowning}
HairyDude	the_water_flow_misses_the_drain	Ring of increase accuracy, negatively enchanted.
runcible	writhes_and_then_shatters_into_pieces	Applied a figurine to an occupied square or monster was genocided.
Stevko	the_sink_looks_nothing_like_a_fountain	see {sink_looks_nothing_like_a_fountain}
paxed	identify	You can identify items by reading a scroll of identify (best blessed), casting identify -spell, or #sitting on a throne. (small chance)
paxed	identify	Scrolls of identify are easy to price-ID in shops, as they are the cheapest scroll.
fontp	identify	Blessed scroll has a 1/5 chance of IDing 1, 2, 3, 4, or all items. Positive luck guarantees at least 2. Uncursed has a 21/25 chance of IDing one item, and a 1/25 chance of each 2, 3, 4, and all items. Cursed only IDs one item.
anselmus	identify	You can also ID by price. See ??Clippy and tabs-343.txt.
aero2600	identify	An identify scroll that identifies all items will not identify items in a container(ie. Bag of Holding).
Eidolos	cure_sickness	The spell of cure sickness will relieve you of the following ailments: illness, lethal food poisoning, and sliming.
paxed	cyclops	The Healer quest nemesis, a giant.
ChocoCid	cyclops	Can leveldrain you multiple times in one turn, doing a massive amount of damage. Meleeing him is a bad idea.
Zeffrin	cyclops	Eaten: Cyclops   Nutr: 700   Effects:   Strength
joshk	hezrou	You can beat it.
koitsu	hezrou	Common demon; looks somewhat like a malformed toad with arms in place of forelegs, but not as tall as a vrock.  According to AD&D, hezrou can cause fear, levitate, detect invisible objects, and gate in other hezrou.
konso	dagger	Very basic weapon that has a +2 bonus to hit. Ordinary daggers do 1d4 damage against small monsters, and 1d3 against large ones.
konso	dagger	Ra, Ro, T, V and W can become expert at daggers.
itsblah	dagger	Ra and Ro have the chance of throwing an extra dagger.
tenco	dagger	Good for prying chests and boxes open.
Stevie-O	dagger	Silver daggers weigh 12; all other daggers (including athames, such as Magicbane) weigh 10.
tsuteiuQ	protection	Bought from a priest by #chat'ting and donating 400*XL to (600*XL)-1 in gold.
tsuteiuQ	protection	Your first donation will lower your natural AC by 2-4 points, and subsequent donations will lower your AC by 1 point until you reach naked AC:1.
tsuteiuQ	protection	Once you reach 9 points of protection (AC:1), additional donation attempts only have a 1/(protection) chance of giving you another point of protection, up to a maximum of 20 points of protection (AC:-10)
darB	protection	Additional protection may also be gained from #praying.  This comes in one-point increments with no limit (beyond the hard limit of AC wrapping at -128)
eswald	protection	You can lose protection by: 1) praying when it is unsafe to pray; 2) attempting an egregiously offensive sacrifice; 3) killing a coaligned priest; 4) putting on or removing a helm of opposite alignment; or 5) getting hit by a gremlin at night.
eswald	protection	See http://dominia.org/djao/protection.html for details.
SpeedEvil	protection	See also {donate}.
paxed	#twoweapon	see {twoweapon}
Cheapy|	sink	See {kitchen_sink}
Poeir	destroy_armor	A scroll that destroys one random piece of worn armor unless confused. If cursed and confused, adds rustproofing or fireproofing to one random worn armor. Non-cursed and confused randomly removes same. Base price: 100 zorkmids
billnye	destroy_armor	cursed unconfused destroy armor will not destroy a cursed item, instead stunning you for 10-19 turns and driving armor not already below -5 down by 1.
SpeedEvil	destroy_armor	See {some_armor} for which item is picked. Only artifacts can resist.
|404notfound	smite	Same as hit. Only for barbarians.
dasunt	white_dragon_scale_mail	White dragon scale mail drops AC by 9 and provides cold resistance while not hindering spell casting.
CydeWeys	white_dragon_scale_mail	Weighs 40.
markos_64	elfrist	Chaotic orcish spear, +5 to-hit and +15 to-damage against elves.
markos_64	elfrist	One of many joke monster-specific artifacts that are just an obstacle in the way of a good weapon.
Hellzon	elfrist	Exists in Slash'Em, not in Nethack.
SheeEttin	mace	Priest starting weapon. Deals 1d6+1/1d6 for small/large monsters.
Chilliwack	mace	Weighs 30.
Chilliwack	mace	Priests and Cavemen can get expert, Rogues, Knights and Barbarians can get skilled, Healer, Tourist and Wizard can get basic.
Hellzon	mace	The Caveman artifact - The Sceptre of Might - is one of these.
Nexos	your_vision_quickly_clears	Your blindness was directly overcome by the Eyes of the Overworld.
